time,4kb_alloc,2mb_alloc,1gb_alloc,1gb_free,2mb_free,4kb_free
564000000,35948120,35768832,22282240,30146560,6954496,3117480
566000000,35964667,35762688,21495808,30932992,7004160,3057413
568000000,35972179,35768832,23068672,29360128,7035904,3012013
570000000,35782967,35608576,23855104,28573696,7246848,3150537
572000000,35655781,35485696,23855104,28573696,7408640,3238811
574000000,35520763,35295744,23592960,28835840,7633408,3339013
576000000,35393318,35184640,23592960,28835840,7795200,3415770
578000000,35267500,35065344,24903680,27525120,7949824,3506260
580000000,35052001,34852864,25427968,27000832,8205312,3678751
582000000,34912404,34726400,24903680,27525120,8372736,3777388
584000000,34824326,34658816,24903680,27525120,8477184,3828602
586000000,34762304,34561024,24117248,28311552,8607744,3857856
588000000,34794384,34591232,25427968,27000832,8606208,3797104
590000000,34621032,34412032,26476544,25952256,8821248,3934616
592000000,34487324,34283520,26214400,26214400,8982528,4035556
594000000,34436735,34249216,25165824,27262976,9050624,4052353
596000000,34389765,34225152,25427968,27000832,9105408,4068603
598000000,34291319,34068480,25427968,27000832,9294848,4134281
600000000,34211631,33945088,26738688,25690112,9446912,4185297
602000000,34122205,33857536,26476544,25952256,9571840,4237347
604000000,33994914,33737728,26738688,25690112,9728512,4327774
606000000,33868661,33622528,26738688,25690112,9877504,4420235
608000000,33873034,33679872,25952256,26476544,9851392,4384630
610000000,33884731,33630720,27262976,25165824,9928704,4344773
612000000,33739120,33516032,28049408,24379392,10064384,4469392
614000000,33473544,33235456,28573696,23855104,10375168,4704760
616000000,33324347,33105408,28835840,23592960,10532864,4826309
618000000,33145254,32963072,28573696,23855104,10691584,4989018
620000000,33008511,32877056,29360128,23068672,10800640,5102721
622000000,32853884,32687104,28835840,23592960,11011584,5236356
624000000,32726165,32564224,29097984,23330816,11158016,5340523
626000000,32517639,32331264,30408704,22020096,11417088,5522937
628000000,32349506,32174592,30146560,22282240,11593216,5671614
630000000,32246459,32089600,29360128,23068672,11697152,5755717
632000000,32302458,32169984,29360128,23068672,11634176,5682310
634000000,32199939,32093184,29622272,22806528,11730432,5765373
636000000,32212321,32120832,29622272,22806528,11720192,5735583
638000000,32181212,32126976,29360128,23068672,11734016,5746724
640000000,32214274,32110592,29360128,23068672,11763712,5700350
642000000,32275907,32119808,29097984,23330816,11767808,5625405
