time,4kb_alloc,2mb_alloc,1gb_alloc,1gb_free,2mb_free,4kb_free
540000000,33120570,33602560,27787264,39583744,123392,198
542000000,32974352,33406976,28835840,38797312,202752,496
544000000,32848138,33276416,28049408,39845888,197632,246
546000000,32734919,33186816,28573696,39583744,138240,313
548000000,32609646,33045504,29360128,39059456,142848,146
550000000,32502933,32965120,28311552,40370176,67584,363
552000000,32440540,32898048,28835840,39845888,197120,292
554000000,32357702,32843264,29097984,39845888,72704,186
556000000,32230773,32677888,29622272,39583744,102912,139
558000000,32106012,32588288,30146560,39321600,54784,484
560000000,31979790,32455680,29884416,39845888,51712,242
562000000,31929933,32419328,28835840,40894464,137728,435
564000000,31990440,32488448,28835840,40894464,8192,344
566000000,32068489,32563712,27787264,41680896,117248,119
568000000,32192723,32670720,28049408,41156608,147968,301
570000000,32322548,32791040,27525120,41418752,160256,12
572000000,32565495,33020928,27000832,41418752,211456,265
574000000,32657166,33103872,27262976,41156608,36864,242
576000000,32742147,33193472,27262976,40894464,124416,253
578000000,32806292,33295872,27525120,40370176,220160,108
580000000,32871272,33400832,26738688,41156608,50176,152
582000000,32936468,33462272,26738688,40894464,185344,492
584000000,32999244,33526784,26738688,40894464,58368,180
586000000,33114481,33658880,25427968,41943040,73216,143
588000000,33370696,33895424,25165824,41680896,104448,440
590000000,33508241,34025984,25165824,41418752,98816,111
592000000,33615422,34115584,24641536,41680896,163840,450
594000000,33763730,34208768,24641536,41418752,184832,110
596000000,33853635,34278912,25165824,40894464,24576,317
598000000,33916548,34387456,25427968,40370176,115200,380
600000000,33980657,34423296,25165824,40632320,15360,271
602000000,34044466,34504192,24903680,40632320,132608,462
604000000,34107286,34558976,24641536,40894464,15360,106
606000000,34165225,34558976,25427968,39845888,219648,23
608000000,34145531,34576384,25427968,39845888,221696,261
610000000,34134903,34574848,24117248,41156608,233984,137
612000000,34213817,34692096,23855104,41418752,37888,71
614000000,34387073,34848768,23330816,41418752,231936,383
616000000,34642546,35123200,22020096,42205184,226304,398
618000000,34845108,35335168,22544384,41418752,74240,76
620000000,34870603,35322368,24117248,39845888,61440,181
622000000,34742869,35165696,25165824,39059456,83456,427
624000000,34709249,35052032,24117248,40108032,230912,255
626000000,34759283,35080704,23592960,40632320,152064,397
628000000,34741847,35069952,24379392,39845888,180224,425
630000000,34678702,34995200,24117248,40370176,56320,82
632000000,34739704,35035136,24117248,40108032,217600,8
634000000,34769833,35027456,24117248,40108032,195072,87
636000000,34787780,35023872,24641536,39583744,180736,60
638000000,34660984,34926592,25165824,39321600,142336,392
640000000,34597595,34821632,24641536,40108032,48640,293
642000000,34646589,34865664,24641536,39845888,217600,451
644000000,34584033,34750464,24379392,40370176,133632,31
646000000,34573282,34749440,24641536,40108032,145408,30
648000000,34493988,34696704,24379392,40632320,14848,476
650000000,34547748,34751488,24641536,40108032,168448,476
652000000,34539413,34755072,23592960,41156608,173568,107
654000000,34548397,34762752,24903680,39845888,156672,339
656000000,34536793,34760192,24641536,40108032,171008,167
658000000,34600806,34719232,23855104,40894464,147968,154
660000000,34661406,34807808,23592960,40894464,260608,482
662000000,34727209,34926080,23592960,40894464,76800,215
664000000,34960912,35129344,20971520,42991616,163840,496
666000000,35229295,35418112,21757952,41680896,131072,401
668000000,35404617,35634688,21495808,41680896,1536,183
670000000,35583093,35788800,21233664,41418752,193024,395
672000000,35735280,35915776,20971520,41418752,176128,272
674000000,35751176,35912704,22544384,39845888,163328,248
676000000,35712615,35938816,22544384,39845888,175616,409
678000000,35620733,35854848,22544384,40108032,89600,131
680000000,35549379,35805696,23592960,39059456,209920,317
682000000,35265336,35511808,25427968,38010880,1536,200
684000000,34954188,35242496,25427968,38535168,57856,52
686000000,34788129,35084800,24117248,40108032,119296,223
688000000,34896587,35212800,22020096,41943040,144896,309
690000000,35147064,35426304,22020096,41418752,205312,200
692000000,35311588,35568128,22282240,40894464,161280,28
694000000,35374486,35611136,22806528,40370176,55296,106
696000000,35370064,35630592,23330816,39845888,39936,432
698000000,35246091,35504640,23592960,39845888,27648,501
700000000,35187819,35419648,23592960,39845888,171008,405
702000000,35082709,35312128,23592960,40108032,121856,43
704000000,34999216,35171328,23592960,40370176,83968,80
706000000,35056833,35198464,22544384,41156608,261120,319
708000000,35121913,35224576,23330816,40370176,169984,263
710000000,35186343,35263488,22806528,40894464,66560,345
712000000,35250514,35315200,22806528,40632320,212992,174
714000000,35191923,35297792,23592960,40108032,26624,397
716000000,35204769,35351552,22806528,40632320,222208,351
718000000,35265758,35385344,23068672,40370176,127488,290
720000000,35383221,35469312,21757952,41418752,188416,75
722000000,35449891,35552256,21757952,41418752,38400,477
724000000,35513795,35638784,22544384,40370176,150528,61
726000000,35531635,35661824,22806528,40108032,109568,141
728000000,35412639,35632128,23330816,39583744,258048,353
730000000,35434743,35672064,22282240,40632320,196096,265
732000000,35477689,35661824,23330816,39583744,163328,327
734000000,35352912,35550208,23592960,39583744,137728,176
736000000,35225347,35444736,23330816,40108032,108544,253
738000000,35131303,35343360,24379392,39321600,41984,89
740000000,35072873,35265024,23068672,40632320,178688,151
742000000,35035173,35234816,24379392,39321600,246272,475
744000000,34865437,35060736,25427968,38797312,66048,227
746000000,34554590,34728960,26214400,38535168,184320,290
748000000,34401454,34573824,25427968,39583744,230400,338
750000000,34366279,34519552,25165824,40108032,57856,185
752000000,34398593,34537984,23592960,41680896,7168,127
754000000,34495510,34616320,23592960,41418752,93696,490
756000000,34655695,34757632,23330816,41418752,54784,49
758000000,34758431,34852352,23068672,41418752,119296,225
760000000,34822327,34894848,23855104,40632320,12800,329
762000000,34886827,34953216,23330816,40894464,152064,341
764000000,34949499,35026944,22806528,41418752,15872,133
766000000,35061597,35134464,22282240,41680896,58368,163
768000000,35170062,35226112,22282240,41418752,120320,242
770000000,35233458,35258880,22806528,40894464,24064,334
772000000,35295067,35287040,22806528,40632320,196608,165
774000000,35289212,35280384,23330816,40108032,208896,388
776000000,35325221,35335680,22544384,40894464,117760,219
778000000,35389243,35416576,23068672,40108032,235008,197
780000000,35314526,35337216,23068672,40370176,126976,162
782000000,35405369,35442688,21757952,41418752,192512,455
784000000,35602258,35660288,21757952,41156608,40448,174
786000000,35694591,35737600,21233664,41418752,133120,1
788000000,35767425,35751424,21495808,41156608,46080,383
790000000,35826457,35837440,22020096,40370176,163328,231
792000000,35776957,35824128,22544384,39845888,226304,67
794000000,35689289,35760128,22282240,40370176,115712,183
796000000,35624820,35699200,22806528,39845888,241152,140
798000000,35542217,35556352,22806528,40108032,204288,311
800000000,35529307,35552256,22806528,40108032,221184,421
802000000,35438182,35450880,23068672,40108032,151552,410
804000000,35499236,35503616,22282240,40894464,37888,284
806000000,35560662,35616256,22282240,40632320,125952,298
808000000,35553048,35566080,23330816,39583744,183808,232
810000000,35429387,35423232,23330816,39845888,187904,501
812000000,35349513,35330048,23855104,39583744,98816,503
814000000,35225197,35211776,24117248,39583744,79360,403
816000000,35038429,35018752,24903680,39059456,197120,291
818000000,34913210,34984960,24117248,40108032,94208,70
820000000,34936119,35010048,24117248,40108032,46080,201
822000000,34908655,34958336,24379392,39845888,125440,17
824000000,34843716,34866688,24379392,40108032,19456,444
826000000,34882361,34899968,24379392,39845888,209920,199
828000000,34812244,34808320,23855104,40632320,109568,172
830000000,34823585,34788864,24117248,40370176,117760,95
832000000,34827024,34831360,23068672,41418752,71680,240
834000000,34890521,34875904,24117248,40108032,225792,231
836000000,34888114,34901504,24379392,39845888,202752,78
838000000,34759397,34772480,24641536,39845888,198144,283
840000000,34786279,34830848,24117248,40370176,113152,25
842000000,34849139,34907648,23592960,40632320,235520,141
844000000,34913673,34959360,23330816,40894464,119296,119
846000000,34984915,35019264,23068672,40894464,250368,45
848000000,35052302,35041280,23068672,40894464,160768,242
850000000,35080406,35081216,23068672,40894464,92672,298
852000000,35102847,35096576,23855104,40108032,54784,385
854000000,35053813,35047424,23855104,40108032,153088,267
856000000,35105171,35082752,23068672,40894464,66560,109
858000000,35170056,35189248,23330816,40370176,157184,248
860000000,35116679,35137024,24117248,39845888,512,377
862000000,35113719,35159552,23592960,40108032,243200,265
864000000,35118137,35165184,24379392,39321600,232960,455
866000000,35012430,35089920,23855104,40108032,152064,178
868000000,35003709,35092480,23855104,40108032,158208,195
870000000,34965688,35098624,25165824,38797312,189952,328
872000000,34882189,34949632,24117248,40108032,160256,371
874000000,34906184,34975232,22806528,41418752,110592,440
876000000,35029673,35087360,22806528,41156608,137216,343
878000000,35155640,35172864,22282240,41418752,187904,328
880000000,35219543,35211264,23330816,40370176,85504,425
882000000,35275793,35283456,23592960,39845888,219136,495
884000000,35154562,35163136,24117248,39583744,198656,382
886000000,35067263,35089408,23855104,40108032,97792,129
888000000,34920717,34953728,25165824,39059456,117760,243
890000000,34692311,34666496,25952256,38797312,109056,297
892000000,34578750,34544640,24641536,40370176,82432,194
894000000,34642399,34655744,24117248,40632320,169984,33
896000000,34757884,34793472,23068672,41418752,178688,260
898000000,34822063,34848768,23330816,41156608,59392,81
900000000,34877815,34914304,24379392,39845888,200192,137
902000000,34925064,34971648,23592960,40632320,95232,504
904000000,34988445,35073024,22806528,41156608,193024,99
906000000,35127081,35250176,22282240,41418752,139264,215
908000000,35188301,35289600,22544384,41156608,38400,435
910000000,35250118,35323392,22806528,40632320,205312,58
912000000,35315846,35372032,22544384,40894464,90624,378
914000000,35322445,35377152,22806528,40632320,78848,435
916000000,35383167,35422208,22806528,40370176,235520,129
918000000,35423427,35467264,22806528,40370176,150016,317
920000000,35486606,35474944,22806528,40370176,79360,114
922000000,35432415,35440640,22806528,40370176,167936,33
924000000,35493506,35520000,21757952,41418752,27136,382
926000000,35555982,35575296,22282240,40632320,171520,370
928000000,35552954,35636224,22020096,40894464,113664,326
930000000,35613625,35735552,21757952,40894464,216064,71
932000000,35658518,35752960,22544384,40108032,153600,234
934000000,35552053,35646464,23330816,39583744,104448,203
936000000,35424303,35505664,23592960,39583744,110592,465
938000000,35297610,35414016,24117248,39321600,67072,182
940000000,35172912,35288064,23592960,40108032,55296,464
942000000,35124100,35229696,23592960,40108032,162816,124
944000000,35140671,35201024,23330816,40370176,174592,449
946000000,35203278,35222016,22282240,41418752,91136,306
948000000,35406248,35433984,21233664,41943040,200704,88
950000000,35531993,35540480,22020096,40894464,230400,295
952000000,35727813,35749888,20709376,41943040,87552,59
954000000,35860771,35868672,20709376,41680896,97792,221
956000000,36093203,36099072,20185088,41680896,159232,237
958000000,36342287,36326400,20185088,41156608,206848,497
960000000,36426171,36421120,20447232,40894464,28672,69
962000000,36489292,36502016,20185088,40894464,146432,436
964000000,36460558,36552704,21495808,39583744,124416,498
966000000,36329856,36384768,22544384,38797312,161280,128
968000000,36120471,36245504,22806528,38797312,247808,105
970000000,35913369,36033536,23330816,38797312,142336,359
972000000,35634338,35799552,23330816,39321600,131072,350
974000000,35508712,35704320,23330816,39583744,90112,24
976000000,35431179,35629056,22806528,40108032,242688,245
978000000,35358578,35520000,22806528,40370176,162304,142
980000000,35328885,35506176,23855104,39321600,205824,139
982000000,35202025,35405312,24641536,38797312,171520,23
984000000,35074782,35288064,24117248,39583744,153600,290
986000000,35032411,35281408,23068672,40632320,202752,165
988000000,35094783,35335680,22544384,41156608,86016,257
990000000,35191942,35427840,22282240,41156608,158720,378
992000000,35184947,35423232,22806528,40632320,170496,205
994000000,35225835,35483648,22806528,40632320,69120,277
996000000,35397517,35631104,21757952,41418752,12288,115
998000000,35461280,35703296,22282240,40632320,138240,352
1000000000,35519300,35758080,22544384,40370176,25600,188
1002000000,35533950,35802624,22282240,40370176,228352,386
1004000000,35599526,35852800,21757952,40894464,112640,346
1006000000,35586950,35838464,22282240,40370176,139776,122
1008000000,35555891,35824128,22544384,40108032,184832,461
1010000000,35620610,35857408,22020096,40632320,87040,254
1012000000,35552661,35816448,23330816,39321600,196096,107
1014000000,35425789,35713536,23068672,39845888,163840,3
1016000000,35441208,35751424,22282240,40632320,110080,456
