time,4kb_alloc,2mb_alloc,1gb_alloc,1gb_free,2mb_free,4kb_free
758000000,37910361,37316096,19398656,26738688,12029440,824487
760000000,37781719,37191680,19136512,27000832,12162560,944425
762000000,37661994,37065728,19398656,26738688,12294144,1058518
764000000,37537173,36911104,20185088,25952256,12450304,1181803
766000000,37442971,36824576,19922944,26476544,12279296,1271397
768000000,37423327,36795392,19136512,27262976,12311552,1287969
770000000,37442847,36818944,19660800,26738688,12295168,1261281
772000000,37507944,36831232,19398656,27262976,12026368,1190552
774000000,37516931,36826624,19922944,26738688,12033024,1179517
776000000,37390028,36652032,20447232,26214400,12212224,1301812
778000000,37274347,36534272,20185088,26476544,12332032,1415445
780000000,37298472,36569088,19398656,27525120,12038144,1388248
782000000,37294924,36660736,19136512,27787264,11948032,1390260
784000000,37457131,36793344,18612224,28311552,11816960,1226517
786000000,37578403,36892672,18087936,29097984,11453440,1107293
788000000,37660946,37011456,18874368,28311552,11333120,1026286
790000000,37723744,37117440,18612224,28573696,11225088,965536
792000000,37786810,37192192,18612224,28573696,11147776,905030
794000000,37836546,37263360,18874368,28573696,10809856,859902
796000000,37884766,37291520,18612224,28835840,10779136,814242
798000000,37834110,37278208,18087936,29360128,10791936,865410
800000000,37830098,37296640,18612224,28835840,10772480,870446
802000000,37753422,37210624,19660800,28049408,10597888,945586
804000000,37571918,36958208,20447232,27525120,10594304,1120946
806000000,37389324,36776448,20709376,27262976,10778112,1301492
808000000,37172487,36570112,21757952,26214400,10989568,1513209
810000000,36990134,36357120,21495808,26738688,10942976,1693002
812000000,36864504,36252160,21233664,27525120,10526208,1816072
814000000,36735668,36114944,21233664,27525120,10668544,1939788
816000000,36621684,35932160,21495808,27525120,10591744,2051212
818000000,36672481,35987968,20971520,28049408,10537472,1998879
820000000,36707949,36012032,20709376,28311552,10513920,1962899
822000000,36676958,35966976,22020096,27000832,10560512,1992354
824000000,36549099,35821056,22020096,27262976,10449408,2115093
826000000,36471805,35779072,21495808,27787264,10495488,2188291
828000000,36387295,35679232,22282240,27000832,10598400,2269729
830000000,36275773,35509760,22020096,27262976,10768896,2380227
832000000,36299811,35533312,21495808,28311552,10226176,2351069
834000000,36364039,35618304,21495808,28311552,10142720,2285305
836000000,36513062,35745792,19922944,30146560,9756672,2132698
838000000,36716049,35974144,19660800,30146560,9790976,1929199
840000000,36883465,36125184,19922944,30146560,9377792,1761783
842000000,36948268,36188672,19660800,30408704,9314816,1696468
844000000,36968020,36208640,20971520,29097984,9295360,1676204
846000000,36870954,36121088,20709376,29360128,9384448,1771734
848000000,36922592,36183552,20709376,29622272,9059328,1720608
850000000,36855041,36126208,20971520,29622272,8858112,1784575
852000000,36915356,36142592,20185088,31195136,8056832,1722724
854000000,36975791,36190208,19660800,31981568,7748096,1661265
856000000,37078041,36291072,19398656,32243712,7645184,1561063
858000000,37139850,36350976,19922944,31719424,7585792,1498742
860000000,37201604,36469760,19398656,32243712,7465472,1438524
862000000,37266645,36511232,19398656,32243712,7419392,1378091
864000000,37328792,36527616,19136512,32768000,7138304,1318504
866000000,37389830,36567552,19660800,32243712,7094784,1261050
868000000,37458005,36628992,18874368,33030144,7031296,1194923
870000000,37476083,36636672,19136512,33030144,6756864,1181453
872000000,37525686,36628480,19922944,32505856,6499840,1134922
874000000,37430349,36483584,20447232,31981568,6645248,1229747
876000000,37349085,36428288,19922944,32505856,6701568,1309987
878000000,37405685,36489728,19922944,32505856,6641152,1252363
880000000,37447145,36466688,19660800,32768000,6662144,1212951
882000000,37392136,36425728,19922944,32505856,6704640,1266424
884000000,37456310,36517888,19922944,33030144,6087168,1203274
886000000,37570953,36621824,18350080,34603008,5979648,1092215
888000000,37801267,36784128,17563648,35389440,5804032,875213
890000000,38053862,37049344,17301504,35651584,5529600,631834
892000000,38220050,37250560,17039360,35913728,5317120,476910
894000000,38282966,37321216,17563648,35651584,4971520,426794
896000000,38287008,37289984,18350080,34865152,4996096,429408
898000000,38350783,37364224,17825792,35389440,4910592,376897
900000000,38525132,37552128,16252928,36962304,4698624,226612
902000000,38670969,37733376,16515072,36962304,4219904,116103
904000000,38735157,37755392,17301504,36175872,4149248,100555
906000000,38783844,37766656,17563648,35913728,4104704,85148
908000000,38730827,37658624,17563648,35913728,4212736,138165
910000000,38619655,37592064,18612224,34865152,4279296,249337
912000000,38452816,37353984,19660800,33816576,4518400,415152
914000000,38273017,37179392,19660800,33816576,4693504,594439
916000000,38225754,37201920,18350080,35127296,4670976,641702
918000000,38129192,37080064,19922944,33554432,4793344,737752
920000000,37859619,36787200,19660800,34340864,4561920,1007325
922000000,37869556,36860928,18350080,35651584,4488704,996876
924000000,37952526,36919296,17825792,36175872,4430336,913906
926000000,38023971,36977664,18087936,35651584,4633600,842973
928000000,38084870,37063168,17563648,36175872,4549120,781050
930000000,38282952,37300224,17301504,36438016,4310528,584504
932000000,38344618,37345280,17825792,35913728,4262912,525398
934000000,38249109,37273600,19136512,34865152,4073472,619883
936000000,38119902,37117440,19136512,34865152,4229632,749090
938000000,37991578,36958720,19136512,34865152,4388352,877414
940000000,37887123,36851200,19398656,34603008,4495872,981869
942000000,37919306,36844544,19398656,35127296,3978240,949686
944000000,37811163,36723712,19136512,35389440,4099584,1057317
946000000,37875541,36785664,18350080,36438016,3776000,992427
948000000,37939303,36870144,18612224,36175872,3692544,927641
950000000,38003550,36961792,18087936,36962304,3338752,863394
952000000,38066500,37022720,18350080,36700160,3274752,803516
954000000,38171661,37179904,17301504,37748736,3114496,701427
956000000,38259261,37252608,17301504,37748736,3038720,616899
958000000,38395483,37367296,16777216,38273024,2919424,485285
960000000,38553681,37567488,17039360,38010880,2711040,335279
962000000,38617944,37634560,17039360,38010880,2635264,279720
964000000,38682358,37725696,17039360,38010880,2527744,231690
966000000,38703238,37725696,17039360,38273024,2253824,222586
968000000,38768973,37797376,16777216,38535168,2162176,176819
970000000,38821691,37827072,17301504,38010880,2107904,148677
